"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","26-Aug-2016","        253.45","        253.35","        254.90","        252.05","        253.35","        253.80","        253.84","    4753304","          1206588997.35","      46889","    2987496","         62.85"
"ITC","EQ","29-Aug-2016","        253.80","        253.00","        253.95","        251.05","        253.90","        252.80","        252.62","    4272618","          1079357524.65","      43990","    2785898","         65.20"
"ITC","EQ","30-Aug-2016","        252.80","        253.70","        257.90","        253.05","        257.40","        257.30","        255.72","    7692800","          1967221346.45","      61665","    5671232","         73.72"
"ITC","EQ","31-Aug-2016","        257.30","        258.30","        261.50","        256.40","        260.85","        260.05","        259.18","   12773632","          3310669475.50","     106848","   10040495","         78.60"
"ITC","EQ","01-Sep-2016","        260.05","        261.00","        263.00","        259.10","        260.55","        261.00","        261.10","    8373128","          2186188155.45","      71686","    5557987","         66.38"
"ITC","EQ","02-Sep-2016","        261.00","        262.00","        263.70","        260.25","        262.80","        262.90","        262.56","    9154358","          2403600134.80","      64387","    6550766","         71.56"
"ITC","EQ","06-Sep-2016","        262.90","        263.00","        265.90","        261.10","        262.55","        262.60","        263.58","    9166823","          2416197992.30","      73067","    6356374","         69.34"
"ITC","EQ","07-Sep-2016","        262.60","        264.00","        264.95","        262.00","        262.60","        262.80","        263.43","    6409700","          1688499133.40","      57220","    4706154","         73.42"
"ITC","EQ","08-Sep-2016","        262.80","        263.50","        265.55","        262.70","        264.90","        264.90","        264.61","    8324999","          2202903482.60","      87517","    6400268","         76.88"
"ITC","EQ","09-Sep-2016","        264.90","        263.00","        264.45","        257.05","        258.95","        258.30","        259.40","    9755948","          2530741286.25","      56799","    6987402","         71.62"
"ITC","EQ","12-Sep-2016","        258.30","        255.95","        256.70","        251.75","        251.85","        252.25","        253.47","    7344276","          1861519341.45","      61137","    5377232","         73.22"
"ITC","EQ","14-Sep-2016","        252.25","        251.00","        253.10","        249.55","        252.80","        251.85","        250.61","   12537688","          3142094943.50","     110092","   10402067","         82.97"
"ITC","EQ","15-Sep-2016","        251.85","        252.50","        257.90","        252.50","        255.85","        255.90","        256.12","    7778214","          1992166506.10","      62323","    5256673","         67.58"
"ITC","EQ","16-Sep-2016","        255.90","        256.00","        262.20","        255.40","        262.20","        260.35","        259.58","   14038158","          3644071130.40","      62451","   10911745","         77.73"
"ITC","EQ","19-Sep-2016","        260.35","        261.50","        262.60","        258.25","        259.55","        258.85","        260.01","    6474978","          1683528706.45","      53624","    4742641","         73.25"
"ITC","EQ","20-Sep-2016","        258.85","        259.20","        259.25","        255.25","        255.90","        256.95","        256.54","    6686674","          1715397166.90","      43074","    4999466","         74.77"
"ITC","EQ","21-Sep-2016","        256.95","        256.70","        258.80","        253.00","        254.00","        253.65","        255.63","    8800312","          2249613355.50","      57198","    6895824","         78.36"
"ITC","EQ","22-Sep-2016","        253.65","        255.45","        257.20","        253.75","        255.10","        255.25","        255.18","    7692200","          1962865542.70","      54312","    6131875","         79.72"
"ITC","EQ","23-Sep-2016","        255.25","        255.00","        257.00","        251.80","        253.10","        253.45","        253.83","    4952284","          1257062070.25","      60082","    2881194","         58.18"
"ITC","EQ","26-Sep-2016","        253.45","        253.00","        253.25","        247.50","        248.00","        248.05","        249.27","    9687011","          2414638653.75","      96923","    7765972","         80.17"
"ITC","EQ","27-Sep-2016","        248.05","        248.65","        249.25","        245.00","        247.00","        245.85","        246.83","    6644898","          1640138747.40","      56582","    4732233","         71.22"
"ITC","EQ","28-Sep-2016","        245.85","        246.30","        249.40","        245.50","        247.00","        246.95","        247.28","    7362899","          1820694155.25","      57407","    5142782","         69.85"
"ITC","EQ","29-Sep-2016","        246.95","        248.10","        249.30","        241.00","        246.25","        245.70","        244.53","   17433461","          4262967315.70","     112476","   11325104","         64.96"
